32768
890:	16
854:	0
1
408:	16
1058:	15
51:	6
116:	2
502:	2
377:	2
251:	2
296:	1
968:	1
605:	1
1028:	0
921:	0
280:	0
819:	0
1050:	0
30:	0
289:	0
423:	0
46:	0
47:	0
756:	0
825:	0
204:	0
1106:	0
728:	0
1124:	0
629:	0
1112:	0
253:	0
32774
1142:	56
945:	0
16385
724:	29
90:	9
1027:	6
308:	3
192:	3
751:	3
111:	2
568:	2
1024:	1
258:	1
909:	1
656:	1
661:	1
280:	1
550:	1
885:	1
94:	1
422:	1
756:	1
1013:	1
509:	1
1034:	0
532:	0
82:	0
995:	0
750:	0
9
615:	27
153:	0
458:	0
806:	0
32780
835:	12
18:	7
39:	0
457:	0
42:	0
1039:	0
419:	0
188:	0
202:	0
32782
358:	11
544:	8
27:	5
916:	2
642:	1
196:	1
165:	1
440:	1
198:	0
209:	0
1148:	0
32783
330:	22
344:	1
1047:	1
513:	0
258:	0
836:	0
869:	0
41:	0
1035:	0
781:	0
242:	0
720:	0
914:	0
57:	0
695:	0
1013:	0
1048:	0
921:	0
926:	0
16
21:	27
1147:	0
395:	0
469:	0
32785
130:	9
688:	5
409:	4
869:	2
895:	1
240:	0
995:	0
71:	0
776:	0
1005:	0
701:	0
410:	0
27:	0
765:	0
734:	0
21
1010:	197
313:	17
1:	1
1129:	1
883:	1
1013:	1
1024:	0
289:	0
303:	0
1040:	0
724:	0
790:	0
26:	0
955:	0
1020:	0
1149:	0
990:	0
32790
1025:	0
642:	0
776:	0
9:	0
1034:	0
1036:	0
435:	0
656:	0
1048:	0
1047:	0
280:	0
546:	0
1191:	0
682:	0
940:	0
819:	0
309:	0
695:	0
953:	0
720:	0
726:	0
728:	0
1124:	0
866:	0
996:	0
869:	0
871:	0
879:	0
242:	0
755:	0
298:	0
23
88:	53
289:	0
835:	0
39:	0
188:	0
42:	0
209:	0
1013:	0
1020:	0
1149:	0
29
919:	11
979:	8
321:	5
959:	3
15:	1
358:	0
750:	0
913:	0
27:	0
1022:	0
31
282:	39
776:	17
99:	2
546:	1
385:	0
901:	0
1034:	0
919:	0
1036:	0
909:	0
1047:	0
280:	0
1184:	0
292:	0
40:	0
695:	0
184:	0
187:	0
959:	0
321:	0
720:	0
344:	0
869:	0
1004:	0
879:	0
756:	0
124:	0
32801
869:	47
996:	2
1025:	1
550:	0
776:	0
41:	0
79:	0
914:	0
308:	0
901:	0
32807
105:	5
411:	4
419:	2
336:	2
834:	0
964:	0
429:	0
206:	0
916:	0
825:	0
